"time","latitude","longitude","analysed_sst","siteid"
"2024-01-01T09:00:00Z",34.38,-119.74,15.572,"ABUR"
"2024-01-01T09:00:00Z",34.38,-119.73,15.604,"ABUR"
"2024-01-01T09:00:00Z",34.39,-119.75,15.546,"ABUR"
"2024-01-01T09:00:00Z",34.39,-119.74,15.572,"ABUR"
"2024-01-01T09:00:00Z",34.39,-119.73,15.6,"ABUR"
"2024-01-01T09:00:00Z",34.4,-119.75,15.549,"ABUR"
"2024-01-01T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-01T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-02T09:00:00Z",34.38,-119.75,15.87,"ABUR"
"2024-01-02T09:00:00Z",34.38,-119.74,15.858,"ABUR"
"2024-01-02T09:00:00Z",34.38,-119.73,15.865,"ABUR"
"2024-01-02T09:00:00Z",34.39,-119.75,15.879,"ABUR"
"2024-01-02T09:00:00Z",34.39,-119.74,15.866,"ABUR"
"2024-01-02T09:00:00Z",34.39,-119.73,15.869,"ABUR"
"2024-01-02T09:00:00Z",34.4,-119.75,15.891,"ABUR"
"2024-01-02T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-02T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-03T09:00:00Z",34.38,-119.75,15.953,"ABUR"
"2024-01-03T09:00:00Z",34.38,-119.74,15.949,"ABUR"
"2024-01-03T09:00:00Z",34.38,-119.73,15.948,"ABUR"
"2024-01-03T09:00:00Z",34.39,-119.75,15.946,"ABUR"
"2024-01-03T09:00:00Z",34.39,-119.74,15.942,"ABUR"
"2024-01-03T09:00:00Z",34.39,-119.73,15.94,"ABUR"
"2024-01-03T09:00:00Z",34.4,-119.75,15.94,"ABUR"
"2024-01-03T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-03T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-04T09:00:00Z",34.38,-119.75,15.534,"ABUR"
"2024-01-04T09:00:00Z",34.38,-119.74,15.54,"ABUR"
"2024-01-04T09:00:00Z",34.38,-119.73,15.542,"ABUR"
"2024-01-04T09:00:00Z",34.39,-119.75,15.466,"ABUR"
"2024-01-04T09:00:00Z",34.39,-119.74,15.473,"ABUR"
"2024-01-04T09:00:00Z",34.39,-119.73,15.476,"ABUR"
"2024-01-04T09:00:00Z",34.4,-119.75,15.414,"ABUR"
"2024-01-04T09:00:00Z",34.4,-119.74,NaN,"ABUR"
"2024-01-04T09:00:00Z",34.4,-119.73,NaN,"ABUR"
"2024-01-05T09:00:00Z",34.38,-119.75,15.182,"ABUR"
"2024-01-05T09:00:00Z",34.38,-119.74,15.198,"ABUR"
"2024-01-05T09:00:00Z",34.38,-119.73,15.211,"ABUR"
"2024-01-05T09:00:00Z",34.39,-119.75,15.088,"ABUR"
"2024-01-05T09:00:00Z",34.39,-119.74,15.109,"ABUR"
"2024-01-05T09:00:00Z",34.39,-119.73,15.126,"ABUR"
"2024-01-05T09:00:00Z",34.4,-119.75,15.014,"ABUR"
"2024-01-05T09:00:00Z",34.4,-119.74,NaN,"ABUR"
